A,B,01-01-2025 05:45:00,01-01-2025 07:00:00
D,C,01-01-2025 08:00:00,01-01-2025 10:00:00
B,C,01-01-2025 09:30:00,01-01-2025 11:00:00
C,A,01-01-2025 14:00:00,01-01-2025 17:00:00
C,A,01-01-2025 19:00:00,01-01-2025 20:00:00
A,C,01-01-2025 22:00:00,01-01-2025 23:00:00
C,F,01-01-2025 21:00:00,01-01-2025 23:00:00
F,G,02-01-2025 01:00:00,02-01-2025 03:00:00
G,A,02-01-2025 05:00:00,02-01-2025 07:00:00
C,A,02-01-2025 09:00:00,02-01-2025 11:00:00
A,C,02-01-2025 17:00:00,02-01-2025 19:00:00
A,B,03-01-2025 06:00:00,03-01-2025 07:15:00
B,D,03-01-2025 08:30:00,03-01-2025 10:00:00
D,E,03-01-2025 11:00:00,03-01-2025 13:00:00
E,A,03-01-2025 14:30:00,03-01-2025 16:30:00
A,F,03-01-2025 18:00:00,03-01-2025 20:00:00
F,C,03-01-2025 21:00:00,03-01-2025 23:00:00
C,G,04-01-2025 01:00:00,04-01-2025 03:00:00
G,A,04-01-2025 05:00:00,04-01-2025 07:00:00
A,B,04-01-2025 09:00:00,04-01-2025 10:15:00
B,C,04-01-2025 11:30:00,04-01-2025 13:00:00
C,D,04-01-2025 14:00:00,04-01-2025 16:00:00
D,A,04-01-2025 17:30:00,04-01-2025 19:30:00
A,E,04-01-2025 20:00:00,04-01-2025 22:00:00
E,F,05-01-2025 01:00:00,05-01-2025 03:00:00
F,G,05-01-2025 05:00:00,05-01-2025 07:00:00
G,A,05-01-2025 09:00:00,05-01-2025 11:00:00
A,C,05-01-2025 13:00:00,05-01-2025 15:00:00
C,B,05-01-2025 16:30:00,05-01-2025 18:00:00
B,A,05-01-2025 19:00:00,05-01-2025 21:00:00
A,D,06-01-2025 06:00:00,06-01-2025 08:00:00
D,E,06-01-2025 09:30:00,06-01-2025 11:30:00
E,F,06-01-2025 13:00:00,06-01-2025 15:00:00
F,G,06-01-2025 16:30:00,06-01-2025 18:30:00
G,A,06-01-2025 20:00:00,06-01-2025 22:00:00
A,B,07-01-2025 05:45:00,07-01-2025 07:00:00
B,C,07-01-2025 08:30:00,07-01-2025 10:00:00
C,D,07-01-2025 11:00:00,07-01-2025 13:00:00
D,A,07-01-2025 14:30:00,07-01-2025 16:30:00
A,E,07-01-2025 18:00:00,07-01-2025 20:00:00
E,F,07-01-2025 21:00:00,07-01-2025 23:00:00
F,G,08-01-2025 01:00:00,08-01-2025 03:00:00
G,A,08-01-2025 05:00:00,08-01-2025 07:00:00
A,C,08-01-2025 09:00:00,08-01-2025 11:00:00
C,B,08-01-2025 13:30:00,08-01-2025 15:00:00
B,A,08-01-2025 16:00:00,08-01-2025 18:00:00
A,D,09-01-2025 06:00:00,09-01-2025 08:00:00
D,E,09-01-2025 09:30:00,09-01-2025 11:30:00
E,F,09-01-2025 13:00:00,09-01-2025 15:00:00
F,G,09-01-2025 16:30:00,09-01-2025 18:30:00
G,A,09-01-2025 20:00:00,09-01-2025 22:00:00
A,B,10-01-2025 05:45:00,10-01-2025 07:00:00
B,C,10-01-2025 08:30:00,10-01-2025 10:00:00
C,D,10-01-2025 11:00:00,10-01-2025 13:00:00
D,A,10-01-2025 14:30:00,10-01-2025 16:30:00
A,E,10-01-2025 18:00:00,10-01-2025 20:00:00
E,F,10-01-2025 21:00:00,10-01-2025 23:00:00
F,G,11-01-2025 01:00:00,11-01-2025 03:00:00
G,A,11-01-2025 05:00:00,11-01-2025 07:00:00
A,C,11-01-2025 09:00:00,11-01-2025 11:00:00
C,B,11-01-2025 13:30:00,11-01-2025 15:00:00
B,A,11-01-2025 16:00:00,11-01-2025 18:00:00
A,D,12-01-2025 06:00:00,12-01-2025 08:00:00
D,E,12-01-2025 09:30:00,12-01-2025 11:30:00
E,F,12-01-2025 13:00:00,12-01-2025 15:00:00
F,G,12-01-2025 16:30:00,12-01-2025 18:30:00
G,A,12-01-2025 20:00:00,12-01-2025 22:00:00
A,B,13-01-2025 05:45:00,13-01-2025 07:00:00
B,C,13-01-2025 08:30:00,13-01-2025 10:00:00
C,D,13-01-2025 11:00:00,13-01-2025 13:00:00
D,A,13-01-2025 14:30:00,13-01-2025 16:30:00
A,E,13-01-2025 18:00:00,13-01-2025 20:00:00
E,F,13-01-2025 21:00:00,13-01-2025 23:00:00
F,G,14-01-2025 01:00:00,14-01-2025 03:00:00
G,A,14-01-2025 05:00:00,14-01-2025 07:00:00
A,C,14-01-2025 09:00:00,14-01-2025 11:00:00
C,B,14-01-2025 13:30:00,14-01-2025 15:00:00
B,A,14-01-2025 16:00:00,14-01-2025 18:00:00
A,D,15-01-2025 06:00:00,15-01-2025 08:00:00
D,E,15-01-2025 09:30:00,15-01-2025 11:30:00
E,F,15-01-2025 13:00:00,15-01-2025 15:00:00
F,G,15-01-2025 16:30:00,15-01-2025 18:30:00
G,A,15-01-2025 20:00:00,15-01-2025 22:00:00
